layers,neurons,activation,epochs,lr,batch_size,mae,mse,r2,accuracy
1,4,Sigmoid,1,0.0001,16,2.733360001557544,10.863433210150403,-1.9414892196655273,54.44399997404092
1,4,Sigmoid,1,0.0001,32,3.557335277750701,16.645580389652242,-3.507119655609131,40.71107870415499
1,4,Sigmoid,1,0.0001,64,2.6063095466112696,9.984837500917024,-1.70359206199646,56.561507556478844
1,4,Sigmoid,1,0.0001,128,3.2759322135161,14.513922621077075,-2.929931402206421,45.401129774731665
1,4,Sigmoid,1,0.0001,256,3.3153241095672543,14.580260274321843,-2.9478936195373535,44.74459817387909
1,4,Sigmoid,1,0.0001,512,3.0153516303069767,12.777910060358353,-2.459871768951416,49.74413949488372
1,4,Sigmoid,10,10.0,16,408.75040092310445,254779.05131520412,-68985.4609375,-6712.50668205174
1,4,Sigmoid,10,10.0,32,567.7589127628515,496422.24540500314,-134415.125,-9362.648546047525
1,4,Sigmoid,10,10.0,64,238.01785557095323,87198.13964729023,-23609.62109375,-3866.964259515887
1,4,Sigmoid,10,10.0,128,575.5121352678213,482520.3210338485,-130650.8984375,-9491.868921130355
1,4,Sigmoid,10,10.0,256,352.41795302902835,207220.06130223753,-56107.921875,-5773.632550483806
1,4,Sigmoid,10,10.0,512,588.8560014109239,505281.59364285565,-136813.96875,-9714.266690182065
1,4,Sigmoid,10,1.0,16,2.81040879513355,13.338207357746874,-2.6115829944610596,53.159853414440825
1,4,Sigmoid,10,1.0,32,2.8136684511288403,10.990722097737182,-1.9759550094604492,53.105525814519325
1,4,Sigmoid,10,1.0,64,5.989198988070161,58.304164968269156,-14.787003517150879,0.18001686549732332
1,4,Sigmoid,10,1.0,128,4.748637731757288,34.80842177230896,-8.425067901611328,20.8560378040452
1,4,Sigmoid,10,1.0,256,3.8692291583293437,25.792204036085376,-5.983748435974121,35.5128473611776
1,4,Sigmoid,10,1.0,512,2.59940760186378,12.155055148497492,-2.2912213802337646,56.676539968937
1,4,Sigmoid,10,0.1,16,1.6735286369532276,3.7468300837944333,-0.014528274536132812,72.10785605077955
1,4,Sigmoid,10,0.1,32,1.9274780667138156,4.502054162527205,-0.21902012825012207,67.87536555476974
1,4,Sigmoid,10,0.1,64,1.5540267211466534,3.2787752016169702,0.11220687627792358,74.09955464755578
1,4,Sigmoid,10,0.1,128,1.9168247968028904,4.170499474904863,-0.12924516201019287,68.05292005328516
