layers,neurons,activation,epochs,lr,batch_size,accuracy
1,4,Softmax,10,0.01,32,0.30969267139479906
1,4,Softmax,10,0.01,64,0.3380614657210402
1,4,Softmax,10,0.01,128,0.22458628841607564
1,4,Softmax,10,0.01,256,0.2624113475177305
1,4,Softmax,10,0.01,512,0.26713947990543735
1,4,Softmax,10,0.001,16,0.13947990543735225
1,4,Softmax,10,0.001,32,0.061465721040189124
1,4,Softmax,10,0.001,64,0.22458628841607564
1,4,Softmax,10,0.001,128,0.24349881796690306
1,4,Softmax,10,0.001,256,0.15130023640661938
1,4,Softmax,10,0.001,512,0.15130023640661938
1,4,Softmax,10,0.0001,16,0.1536643026004728
1,4,Softmax,10,0.0001,32,0.2127659574468085
1,4,Softmax,10,0.0001,64,0.16548463356973994
1,4,Softmax,10,0.0001,128,0.1702127659574468
1,4,Softmax,10,0.0001,256,0.2364066193853428
1,4,Softmax,10,0.0001,512,0.1347517730496454
1,4,Softmax,25,10.0,16,0.6477541371158393
1,4,Softmax,25,10.0,32,0.7163120567375887
1,4,Softmax,25,10.0,64,0.6761229314420804
1,4,Softmax,25,10.0,128,0.6761229314420804
1,4,Softmax,25,10.0,256,0.5460992907801419
1,4,Softmax,25,10.0,512,0.7635933806146572
1,4,Softmax,25,1.0,16,0.789598108747045
1,4,Softmax,25,1.0,32,0.7257683215130024
1,4,Softmax,25,1.0,64,0.7754137115839244
1,4,Softmax,25,1.0,128,0.8534278959810875
1,4,Softmax,25,1.0,256,0.75177304964539
1,4,Softmax,25,1.0,512,0.8463356973995272
1,4,Softmax,25,0.1,16,0.8605200945626478
1,4,Softmax,25,0.1,32,0.83451536643026
1,4,Softmax,25,0.1,64,0.8416075650118203
1,4,Softmax,25,0.1,128,0.8250591016548463
1,4,Softmax,25,0.1,256,0.8108747044917257
1,4,Softmax,25,0.1,512,0.8085106382978723
1,4,Softmax,25,0.01,16,0.4799054373522459
1,4,Softmax,25,0.01,32,0.5106382978723404
1,4,Softmax,25,0.01,64,0.3380614657210402
1,4,Softmax,25,0.01,128,0.3900709219858156
1,4,Softmax,25,0.01,256,0.3900709219858156
1,4,Softmax,25,0.01,512,0.41843971631205673
1,4,Softmax,25,0.001,16,0.12293144208037825
1,4,Softmax,25,0.001,32,0.1536643026004728
1,4,Softmax,25,0.001,64,0.3640661938534279
1,4,Softmax,25,0.001,128,0.18912529550827423
1,4,Softmax,25,0.001,256,0.15602836879432624
1,4,Softmax,25,0.001,512,0.19621749408983452
1,4,Softmax,25,0.0001,16,0.17257683215130024
1,4,Softmax,25,0.0001,32,0.1607565011820331
1,4,Softmax,25,0.0001,64,0.1111111111111111
1,4,Softmax,25,0.0001,128,0.07565011820330969
1,4,Softmax,25,0.0001,256,0.0851063829787234
1,4,Softmax,25,0.0001,512,0.15130023640661938
1,4,Softmax,50,10.0,16,0.7777777777777778
1,4,Softmax,50,10.0,32,0.9243498817966903
1,4,Softmax,50,10.0,64,0.8983451536643026
1,4,Softmax,50,10.0,128,0.9290780141843972
1,4,Softmax,50,10.0,256,0.8817966903073287
1,4,Softmax,50,10.0,512,0.6997635933806147
1,4,Softmax,50,1.0,16,0.9527186761229315
1,4,Softmax,50,1.0,32,0.8983451536643026
1,4,Softmax,50,1.0,64,0.9527186761229315
1,4,Softmax,50,1.0,128,0.9550827423167849
1,4,Softmax,50,1.0,256,0.9527186761229315
1,4,Softmax,50,1.0,512,0.8581560283687943
1,4,Softmax,50,0.1,16,0.9479905437352246
1,4,Softmax,50,0.1,32,0.9290780141843972
1,4,Softmax,50,0.1,64,0.950354609929078
1,4,Softmax,50,0.1,128,0.9456264775413712
1,4,Softmax,50,0.1,256,0.9479905437352246
1,4,Softmax,50,0.1,512,0.9645390070921985
1,4,Softmax,50,0.01,16,0.607565011820331
1,4,Softmax,50,0.01,32,0.5791962174940898
1,4,Softmax,50,0.01,64,0.6028368794326241
1,4,Softmax,50,0.01,128,0.6264775413711584
1,4,Softmax,50,0.01,256,0.5531914893617021
1,4,Softmax,50,0.01,512,0.5650118203309693
1,4,Softmax,50,0.001,16,0.13947990543735225
1,4,Softmax,50,0.001,32,0.23167848699763594
1,4,Softmax,50,0.001,64,0.2364066193853428
1,4,Softmax,50,0.001,128,0.10638297872340426
1,4,Softmax,50,0.001,256,0.20094562647754138
1,4,Softmax,50,0.001,512,0.1536643026004728
1,4,Softmax,50,0.0001,16,0.1111111111111111
1,4,Softmax,50,0.0001,32,0.12056737588652482
1,4,Softmax,50,0.0001,64,0.16312056737588654
1,4,Softmax,50,0.0001,128,0.24822695035460993
1,4,Softmax,50,0.0001,256,0.13238770685579196
1,4,Softmax,50,0.0001,512,0.12529550827423167
1,4,Softmax,100,10.0,16,0.9219858156028369
1,4,Softmax,100,10.0,32,0.966903073286052
1,4,Softmax,100,10.0,64,0.9598108747044918
1,4,Softmax,100,10.0,128,0.9456264775413712
1,4,Softmax,100,10.0,256,0.7612293144208038
1,4,Softmax,100,10.0,512,0.8676122931442081
1,4,Softmax,100,1.0,16,0.9810874704491725
1,4,Softmax,100,1.0,32,0.983451536643026
1,4,Softmax,100,1.0,64,0.9692671394799054
1,4,Softmax,100,1.0,128,0.983451536643026
1,4,Softmax,100,1.0,256,0.9716312056737588
1,4,Softmax,100,1.0,512,0.9810874704491725
1,4,Softmax,100,0.1,16,0.9763593380614657
1,4,Softmax,100,0.1,32,0.9810874704491725
1,4,Softmax,100,0.1,64,0.9716312056737588
1,4,Softmax,100,0.1,128,0.9787234042553191
1,4,Softmax,100,0.1,256,0.9787234042553191
1,4,Softmax,100,0.1,512,0.9763593380614657
1,4,Softmax,100,0.01,16,0.7328605200945626
1,4,Softmax,100,0.01,32,0.6973995271867612
1,4,Softmax,100,0.01,64,0.6879432624113475
1,4,Softmax,100,0.01,128,0.7423167848699763
1,4,Softmax,100,0.01,256,0.7115839243498818
1,4,Softmax,100,0.01,512,0.6903073286052009
1,4,Softmax,100,0.001,16,0.2907801418439716
1,4,Softmax,100,0.001,32,0.2765957446808511
1,4,Softmax,100,0.001,64,0.3640661938534279
1,4,Softmax,100,0.001,128,0.3215130023640662
1,4,Softmax,100,0.001,256,0.26004728132387706
1,4,Softmax,100,0.001,512,0.30023640661938533
1,4,Softmax,100,0.0001,16,0.24113475177304963
1,4,Softmax,100,0.0001,32,0.16548463356973994
1,4,Softmax,100,0.0001,64,0.14184397163120568
1,4,Softmax,100,0.0001,128,0.18912529550827423
1,4,Softmax,100,0.0001,256,0.1276595744680851
1,4,Softmax,100,0.0001,512,0.09929078014184398
1,4,Softmax,250,10.0,16,0.9787234042553191
1,4,Softmax,250,10.0,32,0.7494089834515366
1,4,Softmax,250,10.0,64,0.9645390070921985
1,4,Softmax,250,10.0,128,0.8203309692671394
1,4,Softmax,250,10.0,256,0.9196217494089834
